,full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
46,Anthony Martial,0,1,5,206,10,11.1,3.6,62.0,0,10,7.6,0,1,0,3.8,88,FWD
86,Callum Wilson,4,2,41,534,10,73.2,162.4,214.0,7,140,44.7,1,0,0,13.1,65,FWD
110,Conor Coady,0,0,22,540,8,11.8,92.2,0.0,2,105,10.5,3,0,1,8.8,50,DEF
126,Danny Ings,4,2,41,540,9,73.7,203.4,216.0,7,154,49.3,3,0,0,18.4,85,FWD
137,David de Gea,0,0,11,450,12,0.0,98.2,0.0,0,73,9.9,1,0,0,3.8,54,GK
155,Ederson Santana de Moraes,0,0,15,450,8,0.0,98.8,0.0,0,76,9.9,1,0,0,6.0,60,GK
175,Fabio Henrique Tavares,0,1,14,482,12,33.5,89.8,9.0,0,85,13.4,1,0,1,1.5,55,MID
211,Harry Kane,5,8,65,533,7,160.6,364.0,372.0,9,245,89.7,1,0,0,40.8,109,FWD
258,Jamie Vardy,6,0,41,384,7,24.2,216.8,177.0,8,164,41.9,1,0,0,17.2,100,FWD
300,Jordan Pickford,0,0,17,540,9,10.0,136.0,0.0,1,102,14.7,1,0,0,8.3,50,GK
324,Kasper Schmeichel,0,0,25,540,8,0.0,150.8,0.0,3,110,15.1,2,0,0,11.9,55,GK
330,Kepa Arrizabalaga,0,0,6,270,6,0.0,50.8,0.0,0,40,5.0,0,0,0,0.9,48,GK
331,Kevin De Bruyne,1,1,18,292,7,204.7,122.4,138.0,3,73,46.6,0,0,0,15.2,115,MID
370,Marcus Rashford,2,2,28,450,12,115.3,134.6,198.0,2,82,44.8,1,0,1,7.2,95,MID
375,Martin Dubravka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,49,GK
387,Mathew Ryan,0,0,11,540,12,0.3,50.0,0.0,0,73,5.0,1,0,1,15.3,45,GK
426,Nathan Redmond,0,0,8,291,4,32.4,22.4,51.0,0,20,10.5,1,0,0,0.2,64,MID
435,Nick Pope,0,0,17,450,9,0.0,100.2,0.0,3,79,10.0,1,0,0,11.6,55,GK
469,Pierre-Emerick Aubameyang,1,1,20,540,7,103.1,93.4,117.0,0,73,31.4,1,0,1,15.3,117,MID
474,Raúl Jiménez,4,0,33,540,8,51.0,157.8,211.0,7,119,42.1,3,0,0,19.5,85,FWD
496,Rui Pedro dos Santos Patrício,0,0,24,540,8,0.0,124.6,0.0,0,121,12.3,3,0,0,7.6,55,GK
507,Sadio Mané,4,2,39,439,7,137.3,206.0,300.0,4,124,64.5,1,0,2,9.4,120,MID
